Project Name,Package Name,Architecture Smell,Cause of the Smell
ornidroid,fr.ornidroid.bo,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fr.ornidroid.bo; fr.ornidroid.helper
ornidroid,fr.ornidroid.bo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AudioOrnidroidFile; Bird; BirdFactoryImpl; OrnidroidFile; OrnidroidFileFactoryImpl; PictureOrnidroidFile; SimpleBird; AbstractOrnidroidFileTest; AudioOrnidroidFileTest; OrnidroidFileFactoryImplTest]; [Credits; CreditsTest]; [MultiCriteriaSearchFormBean]; [Taxon]; [ZipPackage]. LCC (Lack of Component Cohesion) = 0.33
ornidroid,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.6. All the dependencies among components: from: fr.ornidroid.bo to: fr.ornidroid.helper; from: fr.ornidroid.data to: fr.ornidroid.bo; from: fr.ornidroid.data to: fr.ornidroid.helper; from: fr.ornidroid.download to: fr.ornidroid.helper; from: fr.ornidroid.download to: fr.ornidroid.bo; from: fr.ornidroid.event to: fr.ornidroid.helper; from: fr.ornidroid.helper to: fr.ornidroid.bo; from: fr.ornidroid.helper to: fr.ornidroid.ui.preferences; from: fr.ornidroid.helper to: fr.ornidroid.tests; from: fr.ornidroid.service to: fr.ornidroid.bo; from: fr.ornidroid.service to: fr.ornidroid.download; from: fr.ornidroid.service to: fr.ornidroid.helper; from: fr.ornidroid.service to: fr.ornidroid.data; from: fr.ornidroid.service to: fr.ornidroid.ui.picture; from: fr.ornidroid.ui.activity to: fr.ornidroid.bo; from: fr.ornidroid.ui.activity to: fr.ornidroid.helper; from: fr.ornidroid.ui.activity to: fr.ornidroid.service; from: fr.ornidroid.ui.activity to: fr.ornidroid.event; from: fr.ornidroid.ui.activity to: fr.ornidroid.ui.multicriteriasearch; from: fr.ornidroid.ui.activity to: fr.ornidroid.ui.adapter; from: fr.ornidroid.ui.activity to: fr.ornidroid.ui.components; from: fr.ornidroid.ui.activity to: fr.ornidroid.ui.picture; from: fr.ornidroid.ui.adapter to: fr.ornidroid.ui.activity; from: fr.ornidroid.ui.adapter to: fr.ornidroid.ui.multicriteriasearch; from: fr.ornidroid.ui.adapter to: fr.ornidroid.bo; from: fr.ornidroid.ui.adapter to: fr.ornidroid.helper; from: fr.ornidroid.ui.components to: fr.ornidroid.helper; from: fr.ornidroid.ui.components to: fr.ornidroid.bo; from: fr.ornidroid.ui.components.progressbar to: fr.ornidroid.helper; from: fr.ornidroid.ui.fragment to: fr.ornidroid.bo; from: fr.ornidroid.ui.fragment to: fr.ornidroid.service; from: fr.ornidroid.ui.fragment to: fr.ornidroid.event; from: fr.ornidroid.ui.fragment to: fr.ornidroid.helper; from: fr.ornidroid.ui.fragment to: fr.ornidroid.ui.activity; from: fr.ornidroid.ui.fragment to: fr.ornidroid.ui.components; from: fr.ornidroid.ui.fragment to: fr.ornidroid.ui.picture; from: fr.ornidroid.ui.multicriteriasearch to: fr.ornidroid.helper; from: fr.ornidroid.ui.multicriteriasearch to: fr.ornidroid.ui.components; from: fr.ornidroid.ui.multicriteriasearch to: fr.ornidroid.ui.activity; from: fr.ornidroid.ui.picture to: fr.ornidroid.bo; from: fr.ornidroid.ui.preferences to: fr.ornidroid.helper; from: fr.ornidroid.tests to: fr.ornidroid.helper.
ornidroid,fr.ornidroid.helper,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fr.ornidroid.helper; fr.ornidroid.bo
ornidroid,fr.ornidroid.helper,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fr.ornidroid.bo; fr.ornidroid.ui.preferences; fr.ornidroid.tests
ornidroid,fr.ornidroid.helper,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BasicConstants; Constants; I18nHelper; OrnidroidException; StringHelper; IOHelperTest; StringHelperTest; Charsets; IOHelper; FileHelper; FileHelperTest]; [MenuHelper]; [UIHelper]. LCC (Lack of Component Cohesion) = 0.23
ornidroid,fr.ornidroid.service,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fr.ornidroid.download; fr.ornidroid.data
ornidroid,fr.ornidroid.service,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IOrnidroidIOService; OrnidroidIOServiceImpl; OrnidroidFileFilter; OrnidroidOfficialFileFilter; OrnidroidIOServiceImplTest]; [IOrnidroidService; OrnidroidServiceImpl; SelectFieldsValue; OrnidroidServiceFactory]. LCC (Lack of Component Cohesion) = 0.22
ornidroid,fr.ornidroid.ui.activity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fr.ornidroid.ui.activity; fr.ornidroid.ui.multicriteriasearch
ornidroid,fr.ornidroid.ui.activity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fr.ornidroid.ui.activity; fr.ornidroid.ui.adapter; fr.ornidroid.ui.multicriteriasearch
ornidroid,fr.ornidroid.ui.activity,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fr.ornidroid.ui.adapter
ornidroid,fr.ornidroid.ui.activity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AboutActivity; AbstractOrnidroidActivity; HelpActivity; HomeActivity; MultiCriteriaSearchActivity]; [AddCustomMediaActivity; NewBirdActivity; MainActivity]; [OrnidroidPreferenceActivity]; [ScrollableImageActivity]. LCC (Lack of Component Cohesion) = 0.4
ornidroid,fr.ornidroid.ui.adapter,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fr.ornidroid.ui.adapter; fr.ornidroid.ui.activity
ornidroid,fr.ornidroid.ui.adapter,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fr.ornidroid.ui.adapter; fr.ornidroid.ui.multicriteriasearch; fr.ornidroid.ui.activity
ornidroid,fr.ornidroid.ui.fragment,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractFragment; AudioFragment; ImagesFragment; WikipediaFragment]; [DetailsFragment]; [NamesFragment]. LCC (Lack of Component Cohesion) = 0.5
ornidroid,fr.ornidroid.ui.multicriteriasearch,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fr.ornidroid.ui.multicriteriasearch; fr.ornidroid.ui.activity
ornidroid,fr.ornidroid.ui.multicriteriasearch,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fr.ornidroid.ui.multicriteriasearch; fr.ornidroid.ui.activity; fr.ornidroid.ui.adapter
ornidroid,fr.ornidroid.ui.multicriteriasearch,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): fr.ornidroid.ui.activity
ornidroid,fr.ornidroid.ui.preferences,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fr.ornidroid.ui.preferences; fr.ornidroid.helper
ornidroid,fr.ornidroid.tests,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: fr.ornidroid.tests; fr.ornidroid.helper
